Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD
expect,5299,3306,5220,3285,103.9,3.7243,39.41,3.5194
expectable,1,1,1,1,0.02,0.301,0.01,0.301
expectancy,32,28,31,27,0.63,1.5185,0.33,1.4624
expectant,16,15,14,13,0.31,1.2304,0.18,1.2041
expectantly,2,2,2,2,0.04,0.4771,0.02,0.4771
expectation,67,62,67,62,1.31,1.8325,0.74,1.7993
expectations,268,215,243,208,5.25,2.4298,2.56,2.3345
expected,1696,1346,1680,1337,33.25,3.2297,16.05,3.1294
expecting,1846,1464,1789,1424,36.2,3.2665,17.45,3.1658
expectorant,4,4,4,4,0.08,0.699,0.05,0.699
expectorated,1,1,1,1,0.02,0.301,0.01,0.301
expectorating,5,4,5,4,0.1,0.7782,0.05,0.699
expectoration,1,1,1,1,0.02,0.301,0.01,0.301
expects,240,212,226,210,4.71,2.382,2.53,2.3284
expedience,6,5,5,5,0.12,0.8451,0.06,0.7782
expediency,10,10,7,7,0.2,1.0414,0.12,1.0414
expedient,22,13,20,13,0.43,1.3617,0.15,1.1461
expediently,3,3,2,2,0.06,0.6021,0.04,0.6021
expedite,34,32,31,30,0.67,1.5441,0.38,1.5185
expedited,11,11,10,10,0.22,1.0792,0.13,1.0792
expediter,6,3,6,3,0.12,0.8451,0.04,0.6021
expediting,3,3,3,3,0.06,0.6021,0.04,0.6021
expedition,289,143,255,132,5.67,2.4624,1.7,2.1584
expeditionary,15,13,8,8,0.29,1.2041,0.15,1.1461
expeditions,29,22,28,21,0.57,1.4771,0.26,1.3617
expeditious,7,6,7,6,0.14,0.9031,0.07,0.8451
expeditiously,2,2,2,2,0.04,0.4771,0.02,0.4771
expel,70,55,64,53,1.37,1.8513,0.66,1.7482
expelled,230,136,221,134,4.51,2.3636,1.62,2.1367
expelling,11,9,10,8,0.22,1.0792,0.11,1
expels,4,4,4,4,0.08,0.699,0.05,0.699
expend,4,4,4,4,0.08,0.699,0.05,0.699
expendable,77,62,73,61,1.51,1.8921,0.74,1.7993
expendables,2,2,2,2,0.04,0.4771,0.02,0.4771
expended,14,14,14,14,0.27,1.1761,0.17,1.1761
Expender,1,1,0,0,0.02,0.301,0.01,0.301
expendible,1,1,1,1,0.02,0.301,0.01,0.301
expending,2,2,2,2,0.04,0.4771,0.02,0.4771
expenditure,14,13,14,13,0.27,1.1761,0.15,1.1461
expenditures,16,14,16,14,0.31,1.2304,0.17,1.1761
expense,380,326,376,324,7.45,2.5809,3.89,2.5145
expenses,393,316,381,307,7.71,2.5955,3.77,2.5011
expensive,1425,1107,1357,1061,27.94,3.1541,13.2,3.0445
expensively,5,5,5,5,0.1,0.7782,0.06,0.7782
experience,3088,1991,3027,1958,60.55,3.4898,23.74,3.2993
experienced,510,453,499,443,10,2.7084,5.4,2.6571
experiencer,6,6,5,5,0.12,0.8451,0.07,0.8451
experiences,358,273,358,273,7.02,2.5551,3.25,2.4378
experiencing,221,189,216,187,4.33,2.3464,2.25,2.2788
experiment,826,459,788,455,16.2,2.9175,5.47,2.6628
experimental,199,165,179,154,3.9,2.301,1.97,2.2201
experimentally,4,4,4,4,0.08,0.699,0.05,0.699
experimentation,30,28,28,26,0.59,1.4914,0.33,1.4624
experimentations,1,1,1,1,0.02,0.301,0.01,0.301
experimented,31,29,30,28,0.61,1.5051,0.35,1.4771
experimenter,2,2,2,2,0.04,0.4771,0.02,0.4771
experimenting,110,99,107,97,2.16,2.0453,1.18,2
experiments,335,196,326,192,6.57,2.5263,2.34,2.2945
expert,1128,842,1105,832,22.12,3.0527,10.04,2.9258
expertise,203,177,199,175,3.98,2.3096,2.11,2.2504
expertly,11,11,9,9,0.22,1.0792,0.13,1.0792
experts,346,274,331,264,6.78,2.5403,3.27,2.4393
expiate,1,1,1,1,0.02,0.301,0.01,0.301
expiated,1,1,1,1,0.02,0.301,0.01,0.301
expiating,1,1,1,1,0.02,0.301,0.01,0.301
expiation,2,2,2,2,0.04,0.4771,0.02,0.4771
expiatory,2,2,2,2,0.04,0.4771,0.02,0.4771
expirate,1,1,1,1,0.02,0.301,0.01,0.301
expiration,52,50,47,45,1.02,1.7243,0.6,1.7076
expiratory,2,2,2,2,0.04,0.4771,0.02,0.4771
expire,46,46,46,46,0.9,1.6721,0.55,1.6721
expired,128,113,126,113,2.51,2.1106,1.35,2.0569
expires,56,50,56,50,1.1,1.7559,0.6,1.7076
expiring,7,7,7,7,0.14,0.9031,0.08,0.9031
expiry,4,4,4,4,0.08,0.699,0.05,0.699
explain,5670,3386,5321,3267,111.18,3.7537,40.37,3.5298
explainable,10,9,10,9,0.2,1.0414,0.11,1
explained,598,520,589,516,11.73,2.7774,6.2,2.7168
explainer,1,1,1,1,0.02,0.301,0.01,0.301
explaining,352,326,347,321,6.9,2.5478,3.89,2.5145
explains,461,408,428,387,9.04,2.6646,4.86,2.6117
explanation,1023,794,1012,788,20.06,3.0103,9.47,2.9004
explanations,88,80,81,76,1.73,1.9494,0.95,1.9085
explanatory,2,2,2,2,0.04,0.4771,0.02,0.4771
expletive,13,5,12,5,0.25,1.1461,0.06,0.7782
expletives,3,3,3,3,0.06,0.6021,0.04,0.6021
explicable,1,1,1,1,0.02,0.301,0.01,0.301
explicating,5,5,5,5,0.1,0.7782,0.06,0.7782
explication,3,2,3,2,0.06,0.6021,0.02,0.4771
explicit,71,62,70,61,1.39,1.8573,0.74,1.7993
explicitly,18,18,18,18,0.35,1.2788,0.21,1.2788
explode,499,409,483,402,9.78,2.699,4.88,2.6128
exploded,198,175,194,172,3.88,2.2989,2.09,2.2455
exploder,8,4,8,4,0.16,0.9542,0.05,0.699
exploders,3,2,3,2,0.06,0.6021,0.02,0.4771
explodes,126,111,116,109,2.47,2.1038,1.32,2.0492
exploding,132,111,125,106,2.59,2.1239,1.32,2.0492
exploit,125,117,122,114,2.45,2.1004,1.39,2.0719
exploitable,5,5,5,5,0.1,0.7782,0.06,0.7782
exploitation,51,41,47,40,1,1.716,0.49,1.6232
exploitations,1,1,1,1,0.02,0.301,0.01,0.301
exploitative,6,5,6,5,0.12,0.8451,0.06,0.7782
exploited,85,72,82,70,1.67,1.9345,0.86,1.8633
exploiter,3,3,2,2,0.06,0.6021,0.04,0.6021
exploiters,3,3,2,2,0.06,0.6021,0.04,0.6021
exploiting,62,54,59,52,1.22,1.7993,0.64,1.7404
exploitive,5,5,4,4,0.1,0.7782,0.06,0.7782
exploits,48,43,48,43,0.94,1.6902,0.51,1.6435
exploration,96,71,92,70,1.88,1.9868,0.85,1.8573
explorations,4,3,2,2,0.08,0.699,0.04,0.6021
exploratory,25,25,24,24,0.49,1.415,0.3,1.415
explore,317,270,308,264,6.22,2.5024,3.22,2.433
explored,65,61,64,61,1.27,1.8195,0.73,1.7924
explorer,97,63,58,45,1.9,1.9912,0.75,1.8062
explorers,59,40,51,35,1.16,1.7782,0.48,1.6128
explores,11,10,11,10,0.22,1.0792,0.12,1.0414
exploring,139,117,128,112,2.73,2.1461,1.39,2.0719
explosion,841,467,763,438,16.49,2.9253,5.57,2.6702
explosions,154,102,129,86,3.02,2.1903,1.22,2.0128
explosive,271,198,246,183,5.31,2.4346,2.36,2.2989
explosively,1,1,1,1,0.02,0.301,0.01,0.301
explosiveness,1,1,1,1,0.02,0.301,0.01,0.301
explosives,331,207,309,198,6.49,2.5211,2.47,2.3181
expo,20,16,10,8,0.39,1.3222,0.19,1.2304
exponent,4,4,3,3,0.08,0.699,0.05,0.699
exponential,10,9,9,8,0.2,1.0414,0.11,1
exponentially,19,19,19,19,0.37,1.301,0.23,1.301
exponents,2,2,2,2,0.04,0.4771,0.02,0.4771
export,65,44,60,42,1.27,1.8195,0.52,1.6532
exportation,1,1,1,1,0.02,0.301,0.01,0.301
exported,3,3,3,3,0.06,0.6021,0.04,0.6021
exporter,4,4,4,4,0.08,0.699,0.05,0.699
exporting,16,15,16,15,0.31,1.2304,0.18,1.2041
exports,26,23,17,17,0.51,1.4314,0.27,1.3802
expos,2,2,2,2,0.04,0.4771,0.02,0.4771
exposable,1,1,1,1,0.02,0.301,0.01,0.301
expose,360,306,341,294,7.06,2.5575,3.65,2.4871
exposed,538,423,523,415,10.55,2.7316,5.04,2.6274
exposes,18,18,17,17,0.35,1.2788,0.21,1.2788
exposing,94,92,93,91,1.84,1.9777,1.1,1.9685
Exposition,40,23,19,13,0.78,1.6128,0.27,1.3802
expositional,2,2,2,2,0.04,0.4771,0.02,0.4771
expositions,1,1,1,1,0.02,0.301,0.01,0.301
exposure,291,240,281,237,5.71,2.4654,2.86,2.382
exposures,5,5,5,5,0.1,0.7782,0.06,0.7782
expound,5,5,5,5,0.1,0.7782,0.06,0.7782
expounded,1,1,1,1,0.02,0.301,0.01,0.301
expounding,2,2,2,2,0.04,0.4771,0.02,0.4771
express,914,680,650,532,17.92,2.9614,8.11,2.8331
expressed,166,151,164,149,3.25,2.2227,1.8,2.1818
expresses,41,39,41,39,0.8,1.6232,0.46,1.6021
expressible,1,1,1,1,0.02,0.301,0.01,0.301
expressing,129,120,123,114,2.53,2.1139,1.43,2.0828
expression,651,549,649,547,12.76,2.8142,6.55,2.7404
expressional,1,1,1,1,0.02,0.301,0.01,0.301
expressionism,2,2,2,2,0.04,0.4771,0.02,0.4771
expressionist,4,4,2,2,0.08,0.699,0.05,0.699
expressionistic,4,4,4,4,0.08,0.699,0.05,0.699
expressionless,3,3,3,3,0.06,0.6021,0.04,0.6021
expressions,51,51,50,50,1,1.716,0.61,1.716
expressive,23,21,23,21,0.45,1.3802,0.25,1.3424
expressively,1,1,1,1,0.02,0.301,0.01,0.301
expressiveness,1,1,1,1,0.02,0.301,0.01,0.301
expressly,57,50,57,50,1.12,1.7634,0.6,1.7076
expresso,5,4,5,4,0.1,0.7782,0.05,0.699
expressway,49,41,33,28,0.96,1.699,0.49,1.6232
expressways,2,2,2,2,0.04,0.4771,0.02,0.4771
expropriated,2,2,2,2,0.04,0.4771,0.02,0.4771
expropriation,2,1,2,1,0.04,0.4771,0.01,0.301
expulse,1,1,1,1,0.02,0.301,0.01,0.301
expulsion,41,31,40,30,0.8,1.6232,0.37,1.5051
expulsive,1,1,1,1,0.02,0.301,0.01,0.301
expunge,5,5,5,5,0.1,0.7782,0.06,0.7782
expunged,20,17,19,17,0.39,1.3222,0.2,1.2553
exquisite,213,183,187,165,4.18,2.3304,2.18,2.2648
exquisitely,14,14,14,14,0.27,1.1761,0.17,1.1761
exsanguinated,4,4,4,4,0.08,0.699,0.05,0.699
exsanguination,12,11,7,7,0.24,1.1139,0.13,1.0792
ext,3,2,2,1,0.06,0.6021,0.02,0.4771
extant,6,5,6,5,0.12,0.8451,0.06,0.7782
extbook,1,1,1,1,0.02,0.301,0.01,0.301
extemporaneous,6,6,6,6,0.12,0.8451,0.07,0.8451
extemporaneously,1,1,1,1,0.02,0.301,0.01,0.301
extemporary,1,1,1,1,0.02,0.301,0.01,0.301
extempore,1,1,1,1,0.02,0.301,0.01,0.301
extend,327,299,287,271,6.41,2.5159,3.56,2.4771
extendable,1,1,1,1,0.02,0.301,0.01,0.301
extended,213,191,200,182,4.18,2.3304,2.28,2.2833
extender,6,5,5,4,0.12,0.8451,0.06,0.7782
extenders,2,2,2,2,0.04,0.4771,0.02,0.4771
extending,54,53,47,46,1.06,1.7404,0.63,1.7324
extends,49,48,49,48,0.96,1.699,0.57,1.6902
extensible,1,1,1,1,0.02,0.301,0.01,0.301
extension,275,221,254,208,5.39,2.4409,2.63,2.3464
extensions,26,24,25,23,0.51,1.4314,0.29,1.3979
extensive,189,171,179,161,3.71,2.2788,2.04,2.2355
extensively,31,30,26,26,0.61,1.5051,0.36,1.4914
extensor,2,2,2,2,0.04,0.4771,0.02,0.4771
extensors,1,1,1,1,0.02,0.301,0.01,0.301
extent,207,194,206,193,4.06,2.3181,2.31,2.29
Extenuate,1,1,0,0,0.02,0.301,0.01,0.301
extenuating,33,30,32,30,0.65,1.5315,0.36,1.4914
exterior,121,104,102,93,2.37,2.0864,1.24,2.0212
exteriorize,3,2,2,1,0.06,0.6021,0.02,0.4771
exteriorizing,5,2,3,1,0.1,0.7782,0.02,0.4771
exteriors,7,6,7,6,0.14,0.9031,0.07,0.8451
exterminate,57,39,44,36,1.12,1.7634,0.46,1.6021
exterminated,28,25,27,25,0.55,1.4624,0.3,1.415
exterminates,3,3,3,3,0.06,0.6021,0.04,0.6021
exterminating,9,8,9,8,0.18,1,0.1,0.9542
extermination,52,38,50,36,1.02,1.7243,0.45,1.5911
exterminator,102,58,90,55,2,2.0128,0.69,1.7709
exterminators,24,17,18,13,0.47,1.3979,0.2,1.2553
external,126,108,106,95,2.47,2.1038,1.29,2.0374
externalised,1,1,1,1,0.02,0.301,0.01,0.301
externalization,1,1,1,1,0.02,0.301,0.01,0.301
externalized,2,1,2,1,0.04,0.4771,0.01,0.301
externalizing,1,1,1,1,0.02,0.301,0.01,0.301
externally,10,10,9,9,0.2,1.0414,0.12,1.0414
extinct,128,107,124,103,2.51,2.1106,1.28,2.0334
extincted,1,1,1,1,0.02,0.301,0.01,0.301
extinction,76,65,71,63,1.49,1.8865,0.77,1.8195
Extine,1,1,0,0,0.02,0.301,0.01,0.301
extinguish,43,40,39,37,0.84,1.6435,0.48,1.6128
extinguished,30,29,29,28,0.59,1.4914,0.35,1.4771
extinguisher,78,54,77,53,1.53,1.8976,0.64,1.7404
extinguishers,21,17,18,15,0.41,1.3424,0.2,1.2553
extinguishes,3,3,3,3,0.06,0.6021,0.04,0.6021
extinguishing,5,5,4,4,0.1,0.7782,0.06,0.7782
extol,2,2,2,2,0.04,0.4771,0.02,0.4771
extolled,2,2,2,2,0.04,0.4771,0.02,0.4771
extolling,3,3,3,3,0.06,0.6021,0.04,0.6021
extols,1,1,1,1,0.02,0.301,0.01,0.301
extorsion,3,2,3,2,0.06,0.6021,0.02,0.4771
extort,33,31,32,30,0.65,1.5315,0.37,1.5051
extorted,10,10,10,10,0.2,1.0414,0.12,1.0414
extorting,4,4,3,3,0.08,0.699,0.05,0.699
extortion,131,112,111,96,2.57,2.1206,1.34,2.0531
extortionate,1,1,1,1,0.02,0.301,0.01,0.301
extortionist,10,9,10,9,0.2,1.0414,0.11,1
extortionists,3,3,3,3,0.06,0.6021,0.04,0.6021
extortions,1,1,1,1,0.02,0.301,0.01,0.301
extra,3017,2070,2744,1969,59.16,3.4797,24.68,3.3162
extract,150,127,140,118,2.94,2.179,1.51,2.1072
extracted,56,55,54,53,1.1,1.7559,0.66,1.7482
extracting,22,22,21,21,0.43,1.3617,0.26,1.3617
extraction,126,91,118,87,2.47,2.1038,1.08,1.9638
extractions,9,9,8,8,0.18,1,0.11,1
extractor,5,5,5,5,0.1,0.7782,0.06,0.7782
extracts,9,7,9,7,0.18,1,0.08,0.9031
extracurricular,74,60,73,59,1.45,1.8751,0.72,1.7853
extradite,13,13,11,11,0.25,1.1461,0.15,1.1461
extradited,20,19,20,19,0.39,1.3222,0.23,1.301
extraditing,3,3,2,2,0.06,0.6021,0.04,0.6021
extradition,66,52,60,48,1.29,1.8261,0.62,1.7243
extraditions,1,1,1,1,0.02,0.301,0.01,0.301
extradural,1,1,1,1,0.02,0.301,0.01,0.301
extrajudicial,1,1,1,1,0.02,0.301,0.01,0.301
extralegal,1,1,1,1,0.02,0.301,0.01,0.301
extramarital,15,10,15,10,0.29,1.2041,0.12,1.0414
extraneous,15,15,15,15,0.29,1.2041,0.18,1.2041
extraordinaire,33,30,32,29,0.65,1.5315,0.36,1.4914
extraordinarily,58,54,53,50,1.14,1.7709,0.64,1.7404
extraordinary,771,587,687,536,15.12,2.8876,7,2.7694
extrapolate,18,18,16,16,0.35,1.2788,0.21,1.2788
extrapolated,3,3,3,3,0.06,0.6021,0.04,0.6021
extrapolating,5,5,4,4,0.1,0.7782,0.06,0.7782
extrapolation,4,4,4,4,0.08,0.699,0.05,0.699
extrapolations,2,1,2,1,0.04,0.4771,0.01,0.301
extras,105,89,100,86,2.06,2.0253,1.06,1.9542
extrasensory,10,10,9,9,0.2,1.0414,0.12,1.0414
extraterrestrial,102,55,92,52,2,2.0128,0.66,1.7482
extraterrestrials,34,24,30,22,0.67,1.5441,0.29,1.3979
extravagance,27,24,27,24,0.53,1.4472,0.29,1.3979
extravagances,3,3,3,3,0.06,0.6021,0.04,0.6021
extravagant,74,64,71,62,1.45,1.8751,0.76,1.8129
extravagantly,5,4,4,3,0.1,0.7782,0.05,0.699
extravaganza,36,34,29,29,0.71,1.5682,0.41,1.5441
extravaganzas,2,2,2,2,0.04,0.4771,0.02,0.4771
extravasated,1,1,1,1,0.02,0.301,0.01,0.301
extravehicular,1,1,1,1,0.02,0.301,0.01,0.301
extreme,558,450,502,426,10.94,2.7474,5.36,2.6542
extremely,1210,960,1122,899,23.73,3.0831,11.44,2.9827
extremes,34,31,34,31,0.67,1.5441,0.37,1.5051
extremest,2,2,2,2,0.04,0.4771,0.02,0.4771
extremis,8,7,8,7,0.16,0.9542,0.08,0.9031
extremism,3,3,3,3,0.06,0.6021,0.04,0.6021
extremist,19,18,17,17,0.37,1.301,0.21,1.2788
extremists,22,21,20,19,0.43,1.3617,0.25,1.3424
extremities,33,30,31,28,0.65,1.5315,0.36,1.4914
extremity,20,17,18,15,0.39,1.3222,0.2,1.2553
extricate,17,17,16,16,0.33,1.2553,0.2,1.2553
extricating,2,2,2,2,0.04,0.4771,0.02,0.4771
extrication,5,5,4,4,0.1,0.7782,0.06,0.7782
extrovert,5,4,5,4,0.1,0.7782,0.05,0.699
extroverted,3,3,3,3,0.06,0.6021,0.04,0.6021
extroverts,2,2,2,2,0.04,0.4771,0.02,0.4771
extruded,1,1,1,1,0.02,0.301,0.01,0.301
extruder,1,1,1,1,0.02,0.301,0.01,0.301
extrusion,1,1,1,1,0.02,0.301,0.01,0.301
extubate,14,9,14,9,0.27,1.1761,0.11,1
extubation,1,1,1,1,0.02,0.301,0.01,0.301
exuberance,17,15,17,15,0.33,1.2553,0.18,1.2041
exuberant,12,11,10,10,0.24,1.1139,0.13,1.0792
exuberantly,1,1,1,1,0.02,0.301,0.01,0.301
exuberation,1,1,1,1,0.02,0.301,0.01,0.301
exudate,1,1,1,1,0.02,0.301,0.01,0.301
exudative,2,1,2,1,0.04,0.4771,0.01,0.301
exude,11,11,11,11,0.22,1.0792,0.13,1.0792
exuded,3,2,3,2,0.06,0.6021,0.02,0.4771
exudes,9,9,9,9,0.18,1,0.11,1
exuding,2,2,2,2,0.04,0.4771,0.02,0.4771
exultant,1,1,1,1,0.02,0.301,0.01,0.301
exultation,6,6,6,6,0.12,0.8451,0.07,0.8451
Exulted,2,1,0,0,0.04,0.4771,0.01,0.301
exulting,1,1,1,1,0.02,0.301,0.01,0.301
exurban,1,1,1,1,0.02,0.301,0.01,0.301
Exxon,16,14,0,0,0.31,1.2304,0.17,1.1761
ey,45,32,30,22,0.88,1.6628,0.38,1.5185
eye,5701,3216,5464,3157,111.78,3.756,38.34,3.5075
eyeball,94,80,89,76,1.84,1.9777,0.95,1.9085
eyeballed,6,5,6,5,0.12,0.8451,0.06,0.7782
eyeballing,25,19,25,19,0.49,1.415,0.23,1.301
eyeballs,149,132,140,126,2.92,2.1761,1.57,2.1239
eyebath,1,1,1,1,0.02,0.301,0.01,0.301
eyebrow,71,60,69,59,1.39,1.8573,0.72,1.7853
eyebrows,168,137,165,134,3.29,2.2279,1.63,2.1399
eyed,38,21,31,17,0.75,1.5911,0.25,1.3424
eyedrop,3,3,3,3,0.06,0.6021,0.04,0.6021
eyedropper,7,7,7,7,0.14,0.9031,0.08,0.9031
eyeful,22,22,22,22,0.43,1.3617,0.26,1.3617
eyeglass,3,3,3,3,0.06,0.6021,0.04,0.6021
eyeglasses,34,24,31,22,0.67,1.5441,0.29,1.3979
eyeholes,3,2,2,2,0.06,0.6021,0.02,0.4771
eyeing,41,39,40,38,0.8,1.6232,0.46,1.6021
eyelash,44,34,41,31,0.86,1.6532,0.41,1.5441
eyelashes,62,44,52,43,1.22,1.7993,0.52,1.6532
eyeless,3,3,2,2,0.06,0.6021,0.04,0.6021
eyelets,1,1,1,1,0.02,0.301,0.01,0.301
eyelid,17,13,16,12,0.33,1.2553,0.15,1.1461
eyelids,82,71,78,69,1.61,1.9191,0.85,1.8573
eyeline,9,6,9,6,0.18,1,0.07,0.8451
eyeliner,52,37,51,37,1.02,1.7243,0.44,1.5798
eyepiece,2,2,2,2,0.04,0.4771,0.02,0.4771
Eyepieces,1,1,0,0,0.02,0.301,0.01,0.301
eyes,11299,4766,10940,4705,221.55,4.0531,56.82,3.6782
eyeshades,1,1,1,1,0.02,0.301,0.01,0.301
eyeshot,3,3,3,3,0.06,0.6021,0.04,0.6021
eyesight,99,87,95,87,1.94,2,1.04,1.9445
eyesore,18,15,17,15,0.35,1.2788,0.18,1.2041
eyesores,3,3,2,2,0.06,0.6021,0.04,0.6021
eyess,1,1,1,1,0.02,0.301,0.01,0.301
eyestrain,2,2,2,2,0.04,0.4771,0.02,0.4771
eyeteeth,8,8,8,8,0.16,0.9542,0.1,0.9542
eyetooth,2,2,2,2,0.04,0.4771,0.02,0.4771
eyewash,7,5,6,5,0.14,0.9031,0.06,0.7782
eyewear,6,5,6,5,0.12,0.8451,0.06,0.7782
eyewitness,202,129,177,118,3.96,2.3075,1.54,2.1139
eyewitnesses,58,45,46,36,1.14,1.7709,0.54,1.6628
Eyre,4,4,0,0,0.08,0.699,0.05,0.699
Eyrie,1,1,0,0,0.02,0.301,0.01,0.301
Ezekiel,43,19,0,0,0.84,1.6435,0.23,1.301
Ezra,166,20,0,0,3.25,2.2227,0.24,1.3222
F,2579,849,895,149,50.57,3.4116,10.12,2.9294
Fa,95,48,31,22,1.86,1.9823,0.57,1.6902
fab,31,24,20,18,0.61,1.5051,0.29,1.3979
Fabian,147,11,0,0,2.88,2.1703,0.13,1.0792
fable,20,19,18,18,0.39,1.3222,0.23,1.301
fabled,23,23,22,22,0.45,1.3802,0.27,1.3802
fables,10,10,9,9,0.2,1.0414,0.12,1.0414
fabric,245,198,236,193,4.8,2.3909,2.36,2.2989
fabricate,17,17,17,17,0.33,1.2553,0.2,1.2553
fabricated,35,29,33,28,0.69,1.5563,0.35,1.4771
fabricates,2,2,2,2,0.04,0.4771,0.02,0.4771
fabricating,13,13,13,13,0.25,1.1461,0.15,1.1461
fabrication,43,37,42,37,0.84,1.6435,0.44,1.5798
fabrications,3,3,3,3,0.06,0.6021,0.04,0.6021
Fabricators,2,1,0,0,0.04,0.4771,0.01,0.301
fabrics,38,33,37,32,0.75,1.5911,0.39,1.5315
fabulous,1046,679,857,605,20.51,3.0199,8.09,2.8325
fabulously,15,15,14,14,0.29,1.2041,0.18,1.2041
fabulousness,3,2,3,2,0.06,0.6021,0.02,0.4771
fac,1,1,1,1,0.02,0.301,0.01,0.301
facade,42,41,41,40,0.82,1.6335,0.49,1.6232
facades,3,3,3,3,0.06,0.6021,0.04,0.6021
face,14747,5610,14152,5529,289.16,4.1687,66.88,3.749
faced,320,294,307,282,6.27,2.5065,3.51,2.4698
facedown,18,18,16,16,0.35,1.2788,0.21,1.2788
faceless,37,32,36,32,0.73,1.5798,0.38,1.5185
facelift,7,7,7,7,0.14,0.9031,0.08,0.9031
facelifts,1,1,1,1,0.02,0.301,0.01,0.301
faceplate,5,4,4,4,0.1,0.7782,0.05,0.699
facer,1,1,1,1,0.02,0.301,0.01,0.301
faces,1363,1082,1303,1057,26.73,3.1348,12.9,3.0346
facet,13,13,13,13,0.25,1.1461,0.15,1.1461
facetiae,1,1,1,1,0.02,0.301,0.01,0.301
facetious,6,6,6,6,0.12,0.8451,0.07,0.8451
Facetiously,1,1,0,0,0.02,0.301,0.01,0.301
facets,18,18,18,18,0.35,1.2788,0.21,1.2788
faceup,1,1,1,1,0.02,0.301,0.01,0.301
facial,293,238,271,225,5.75,2.4683,2.84,2.3784
facially,2,2,2,2,0.04,0.4771,0.02,0.4771
facials,11,11,9,9,0.22,1.0792,0.13,1.0792
facias,2,1,2,1,0.04,0.4771,0.01,0.301
facie,7,7,6,6,0.14,0.9031,0.08,0.9031
facile,6,5,5,4,0.12,0.8451,0.06,0.7782
facilitate,50,50,50,50,0.98,1.7076,0.6,1.7076
facilitated,15,15,15,15,0.29,1.2041,0.18,1.2041
facilitates,1,1,1,1,0.02,0.301,0.01,0.301
facilitating,10,10,9,9,0.2,1.0414,0.12,1.0414
facilitation,6,2,6,2,0.12,0.8451,0.02,0.4771
facilitator,16,13,14,12,0.31,1.2304,0.15,1.1461
facilitators,5,4,5,4,0.1,0.7782,0.05,0.699
facilities,232,199,228,196,4.55,2.3674,2.37,2.301
facility,723,470,670,447,14.18,2.8597,5.6,2.673
facing,548,472,524,454,10.75,2.7396,5.63,2.6749
fack,3,2,3,2,0.06,0.6021,0.02,0.4771
facsimile,9,9,9,9,0.18,1,0.11,1
facsimiles,2,2,2,2,0.04,0.4771,0.02,0.4771
fact,8801,4369,8649,4339,172.57,3.9446,52.09,3.6405
faction,58,37,48,35,1.14,1.7709,0.44,1.5798
factions,35,28,34,28,0.69,1.5563,0.33,1.4624
factitious,1,1,1,1,0.02,0.301,0.01,0.301
facto,37,35,37,35,0.73,1.5798,0.42,1.5563
factoid,3,3,3,3,0.06,0.6021,0.04,0.6021
factoids,5,1,3,1,0.1,0.7782,0.01,0.301
factor,370,286,336,264,7.25,2.5694,3.41,2.4579
factored,16,15,16,15,0.31,1.2304,0.18,1.2041
factories,119,97,116,97,2.33,2.0792,1.16,1.9912
factoring,14,14,10,10,0.27,1.1761,0.17,1.1761
factors,110,99,106,97,2.16,2.0453,1.18,2
factory,857,483,791,461,16.8,2.9335,5.76,2.6848
factotum,6,5,5,5,0.12,0.8451,0.06,0.7782
facts,1393,899,1319,872,27.31,3.1443,10.72,2.9542
factual,27,24,25,22,0.53,1.4472,0.29,1.3979
factually,4,3,4,3,0.08,0.699,0.04,0.6021
faculties,34,29,32,27,0.67,1.5441,0.35,1.4771
faculty,248,160,227,150,4.86,2.3962,1.91,2.2068
fad,39,36,39,36,0.76,1.6021,0.43,1.5682
faddle,9,6,5,3,0.18,1,0.07,0.8451
fade,286,205,241,184,5.61,2.4579,2.44,2.3139
faded,153,122,142,116,3,2.1875,1.45,2.0899
Faden,2,1,0,0,0.04,0.4771,0.01,0.301
Fadeout,3,3,0,0,0.06,0.6021,0.04,0.6021
fader,2,2,2,2,0.04,0.4771,0.02,0.4771
faders,1,1,1,1,0.02,0.301,0.01,0.301
fades,98,88,92,82,1.92,1.9956,1.05,1.9494
fading,125,103,121,101,2.45,2.1004,1.23,2.017
fado,4,1,3,1,0.08,0.699,0.01,0.301
fads,4,4,4,4,0.08,0.699,0.05,0.699
faecal,5,2,4,2,0.1,0.7782,0.02,0.4771
faeces,8,7,8,7,0.16,0.9542,0.08,0.9031
faenas,1,1,1,1,0.02,0.301,0.01,0.301
Faeries,2,1,0,0,0.04,0.4771,0.01,0.301
faery,3,2,3,2,0.06,0.6021,0.02,0.4771
Faffle,1,1,0,0,0.02,0.301,0.01,0.301
faffs,1,1,1,1,0.02,0.301,0.01,0.301
Fafnir,17,1,0,0,0.33,1.2553,0.01,0.301
fag,275,173,250,161,5.39,2.4409,2.06,2.2405
fagged,6,4,6,4,0.12,0.8451,0.05,0.699
faggot,350,208,316,194,6.86,2.5453,2.48,2.3201
faggotry,9,2,8,2,0.18,1,0.02,0.4771
faggots,72,56,63,50,1.41,1.8633,0.67,1.7559
faggoty,6,5,6,5,0.12,0.8451,0.06,0.7782
faggy,17,15,13,13,0.33,1.2553,0.18,1.2041
Fagin,6,6,1,1,0.12,0.8451,0.07,0.8451
fagots,1,1,1,1,0.02,0.301,0.01,0.301
