"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"M20326622","Bear","Presented",NA,"Related","Global_JOL",1
"M20317351","Bear","Presented",NA,"Related","Global_JOL",1
"M20337010","Bear","Presented",NA,"Related","Global_JOL",0
"20322965","Bear","Presented",NA,"Related","Global_JOL",1
"m20320237","Bed","Control",NA,"Control","Global_JOL",1
"M20316174","Bed","Control",NA,"Control","Global_JOL",1
"20322939","Bed","Control",NA,"Control","Global_JOL",0
"M20330660_MLM","Bed","Control",NA,"Control","Global_JOL",1
"M20308397","Bed","Control",NA,"Control","Global_JOL",1
"M20315108","Bed","Control",NA,"Control","Global_JOL",1
"M20337010","Bed","Control",NA,"Control","Global_JOL",0
"M20321343!","Bed","Control",NA,"Control","Global_JOL",0
"M20295968","Bed","Control",NA,"Control","Global_JOL",1
"m20327174","Bed","Control",NA,"Control","Global_JOL",0
"M10356731","Bed","Control",NA,"Control","Global_JOL",1
"M20321748","Bed","Control",NA,"Control","Global_JOL",0
"M20322859","Bed","Control",NA,"Control","Global_JOL",1
"M20326622","Bed","Control",NA,"Control","Global_JOL",1
"M20302792","Bed","Control",NA,"Control","Global_JOL",1
"20322965","Bed","Control",NA,"Control","Global_JOL",0
"M20301881_GM","Bed","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Bed","Control",NA,"Control","Global_JOL",1
"M20317351","Bed","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Bed","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Bed","Control",NA,"Control","Global_JOL",0
"M20308397","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20326622","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20337010","Blue","Presented",NA,"Unrelated","Global_JOL",0
"M20302792","Blue","Presented",NA,"Unrelated","Global_JOL",1
"20322965","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20301881_GM","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20322859","Blue","Presented",NA,"Unrelated","Global_JOL",0
"m20320237","Blue","Presented",NA,"Unrelated","Global_JOL",0
"M20321748","Blue","Presented",NA,"Unrelated","Global_JOL",0
"M20322696_MNC","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20295968","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20315108","Blue","Presented",NA,"Unrelated","Global_JOL",0
"M20316174","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20326354_SNC.","Blue","Presented",NA,"Unrelated","Global_JOL",0
"M10356731","Blue","Presented",NA,"Unrelated","Global_JOL",0
"20322939","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20330660_MLM","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20317351","Blue","Presented",NA,"Unrelated","Global_JOL",0
"m20327174","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20315390_JKL","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20321343!","Blue","Presented",NA,"Unrelated","Global_JOL",1
"M20321343!","Canyon","Presented",NA,"Related","Global_JOL",1
"M20295968","Canyon","Presented",NA,"Related","Global_JOL",1
"M20337010","Canyon","Presented",NA,"Related","Global_JOL",1
"M20322859","Canyon","Presented",NA,"Related","Global_JOL",1
"M20316174","Canyon","Presented",NA,"Related","Global_JOL",1
"M20330660_MLM","Canyon","Presented",NA,"Related","Global_JOL",1
"M20308397","Canyon","Presented",NA,"Related","Global_JOL",1
"20322939","Canyon","Presented",NA,"Related","Global_JOL",1
"20322965","Canyon","Presented",NA,"Related","Global_JOL",1
"M20315108","Canyon","Presented",NA,"Related","Global_JOL",0
"m20320237","Canyon","Presented",NA,"Related","Global_JOL",1
"M20302792","Canyon","Presented",NA,"Related","Global_JOL",1
"M20301881_GM","Canyon","Presented",NA,"Related","Global_JOL",1
"M20321748","Canyon","Presented",NA,"Related","Global_JOL",1
"M20317351","Canyon","Presented",NA,"Related","Global_JOL",1
"M20322696_MNC","Canyon","Presented",NA,"Related","Global_JOL",1
"M20315390_JKL","Canyon","Presented",NA,"Related","Global_JOL",1
"M10356731","Canyon","Presented",NA,"Related","Global_JOL",0
"M20326354_SNC.","Canyon","Presented",NA,"Related","Global_JOL",1
"M20326622","Canyon","Presented",NA,"Related","Global_JOL",1
"m20327174","Canyon","Presented",NA,"Related","Global_JOL",1
"M20317351","Card","Control",NA,"Control","Global_JOL",1
"M20315108","Card","Control",NA,"Control","Global_JOL",1
"m20327174","Card","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Card","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Card","Control",NA,"Control","Global_JOL",1
"M20322859","Card","Control",NA,"Control","Global_JOL",1
"M20321343!","Card","Control",NA,"Control","Global_JOL",1
"M20326622","Card","Control",NA,"Control","Global_JOL",1
"m20320237","Card","Control",NA,"Control","Global_JOL",1
"20322939","Card","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Card","Control",NA,"Control","Global_JOL",1
"M20321748","Card","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Card","Control",NA,"Control","Global_JOL",1
"M10356731","Card","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Card","Control",NA,"Control","Global_JOL",1
"M20302792","Card","Control",NA,"Control","Global_JOL",1
"M20337010","Card","Control",NA,"Control","Global_JOL",1
"M20295968","Card","Control",NA,"Control","Global_JOL",1
"M20316174","Card","Control",NA,"Control","Global_JOL",1
"20322965","Card","Control",NA,"Control","Global_JOL",0
"M20308397","Card","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Cat","Presented",NA,"Related","Global_JOL",1
"20322939","Cat","Presented",NA,"Related","Global_JOL",1
"M20330660_MLM","Cat","Presented",NA,"Related","Global_JOL",1
"m20327174","Cat","Presented",NA,"Related","Global_JOL",0
"M20295968","Cat","Presented",NA,"Related","Global_JOL",1
"M10356731","Cat","Presented",NA,"Related","Global_JOL",0
"m20320237","Cat","Presented",NA,"Related","Global_JOL",0
"M20321748","Cat","Presented",NA,"Related","Global_JOL",1
"20322965","Cat","Presented",NA,"Related","Global_JOL",1
"M20315108","Cat","Presented",NA,"Related","Global_JOL",0
"M20316174","Cat","Presented",NA,"Related","Global_JOL",1
"M20321343!","Cat","Presented",NA,"Related","Global_JOL",1
"M20302792","Cat","Presented",NA,"Related","Global_JOL",1
"M20337010","Cat","Presented",NA,"Related","Global_JOL",1
"M20315390_JKL","Cat","Presented",NA,"Related","Global_JOL",0
"M20301881_GM","Cat","Presented",NA,"Related","Global_JOL",0
"M20326622","Cat","Presented",NA,"Related","Global_JOL",0
"M20326354_SNC.","Cat","Presented",NA,"Related","Global_JOL",0
"M20308397","Cat","Presented",NA,"Related","Global_JOL",1
"M20317351","Cat","Presented",NA,"Related","Global_JOL",1
"M20322859","Cat","Presented",NA,"Related","Global_JOL",0
"20322939","Cave","Presented",NA,"Related","Global_JOL",1
"M10356731","Cave","Presented",NA,"Related","Global_JOL",1
"M20316174","Cave","Presented",NA,"Related","Global_JOL",1
"M20315108","Cave","Presented",NA,"Related","Global_JOL",1
"M20326354_SNC.","Cave","Presented",NA,"Related","Global_JOL",0
"M20321748","Cave","Presented",NA,"Related","Global_JOL",1
"M20302792","Cave","Presented",NA,"Related","Global_JOL",1
"M20322696_MNC","Cave","Presented",NA,"Related","Global_JOL",1
"M20308397","Cave","Presented",NA,"Related","Global_JOL",0
"M20326622","Cave","Presented",NA,"Related","Global_JOL",1
"m20327174","Cave","Presented",NA,"Related","Global_JOL",1
"M20330660_MLM","Cave","Presented",NA,"Related","Global_JOL",1
"M20301881_GM","Cave","Presented",NA,"Related","Global_JOL",1
"M20321343!","Cave","Presented",NA,"Related","Global_JOL",1
"M20337010","Cave","Presented",NA,"Related","Global_JOL",1
"m20320237","Cave","Presented",NA,"Related","Global_JOL",1
"M20322859","Cave","Presented",NA,"Related","Global_JOL",1
"M20295968","Cave","Presented",NA,"Related","Global_JOL",1
"M20315390_JKL","Cave","Presented",NA,"Related","Global_JOL",1
"20322965","Cave","Presented",NA,"Related","Global_JOL",0
"M20317351","Cave","Presented",NA,"Related","Global_JOL",1
"M20317351","Ceiling","Control",NA,"Control","Global_JOL",1
"20322965","Ceiling","Control",NA,"Control","Global_JOL",0
"M20315390_JKL","Ceiling","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Ceiling","Control",NA,"Control","Global_JOL",1
"M10356731","Ceiling","Control",NA,"Control","Global_JOL",1
"M20322859","Ceiling","Control",NA,"Control","Global_JOL",0
"M20326354_SNC.","Ceiling","Control",NA,"Control","Global_JOL",1
"m20327174","Ceiling","Control",NA,"Control","Global_JOL",0
"M20326622","Ceiling","Control",NA,"Control","Global_JOL",1
"M20315108","Ceiling","Control",NA,"Control","Global_JOL",1
"M20308397","Ceiling","Control",NA,"Control","Global_JOL",0
"M20321343!","Ceiling","Control",NA,"Control","Global_JOL",0
"M20321748","Ceiling","Control",NA,"Control","Global_JOL",0
"20322939","Ceiling","Control",NA,"Control","Global_JOL",1
"M20337010","Ceiling","Control",NA,"Control","Global_JOL",0
"M20322696_MNC","Ceiling","Control",NA,"Control","Global_JOL",1
"M20316174","Ceiling","Control",NA,"Control","Global_JOL",1
"M20295968","Ceiling","Control",NA,"Control","Global_JOL",1
